"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","23","23","1","20.598755","0","23"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","23","23","1","24.027962","0","23"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","23","1","23.159006","0","23"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","23","1","23.714830","0","23"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","23","1","19.664024","0","23"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","23","1","22.871044","0","23"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","23","1","22.765823","0","23"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","23","23","1","23.445354","0","23"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","23","1","23.156670","0","23"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","23","23","1","19.280935","0","23"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","23","23","1","17.695280","0","23"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","664","685","1","450.575623","0","685"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","23","23","1","20.125946","0","23"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","127","127","1","50.840820","0","127"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","3.615849","0","7"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","23","23","1","20.193741","0","23"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","88.331711","0","87"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","23","23","1","20.493473","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","23","23","1","20.464512","0","23"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","23","23","1","20.105234","0","23"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","23","1","22.715887","0","23"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","23","1","19.961033","0","23"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","23","1","18.913420","0","23"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","23","1","19.140717","0","23"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","23","23","1","19.802986","0","23"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","23","23","1","21.418243","0","23"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","23","23","1","22.805676","0","23"
"/Game/MapSystem/TRT/M_TRT_Map.M_TRT_Map","0","13","13","1","7.025040","0","13"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","23","1","22.188057","0","23"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","11","11","1","7.279528","0","11"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","11","11","1","6.564894","0","11"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","42","44","1","40.410889","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","17","17","1","11.545609","0","17"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","23","23","1","23.720104","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","23","23","1","19.961451","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","23","23","1","27.177567","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","23","23","1","23.828903","0","23"
